year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2020,0.0,0.0,-12.87,5.63,4.7,1.05,6.64,10.44,-3.24,-3.55,10.92,5.56,25.31
2021,-2.86,12.61,5.71,2.02,5.31,1.54,1.23,3.91,-4.29,10.92,1.96,3.78,49.06
2022,4.44,1.57,7.46,-1.31,6.14,-9.52,5.48,0.47,-7.5,11.25,2.58,-2.42,17.95
2023,3.02,-3.77,8.1,1.58,6.4,5.41,4.1,-1.52,-4.74,-0.63,10.35,3.99,35.98
2024,2.88,4.4,3.66,-2.09,6.97,-1.19,4.15,6.05,2.48,1.46,8.3,-2.96,39.07
2025,5.33,-1.67,-3.94,-1.03,4.94,6.54,2.5,1.11,5.71,2.58,-0.57,1.32,24.63
2026,3.59,8.25,0.09,5.33,5.49,0.07,-0.01,3.87,0.57,0.0,0.0,0.0,30.37
