kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,241,XLY,2025-03-04,102.88,296.83,2024-10-22,96.81,14.37,15.27,1801.75,1786.48,6.22,89,rotation (out of top-N),2024-10-21,98.96,0.9,1.97,1.5,4.6,9.87,0.54,539,2025-03-03,101.55,1.2,0.17,2.0,4.8,0.86,1.72,672
SELL,242,VTI,2024-11-05,276.15,99.48,2024-10-29,280.22,13.94,13.74,-404.86,-418.6,-1.5,5,rotation (out of top-N),2024-10-28,276.27,0.7,1.36,1.7,5.0,6.82,0.55,644,2024-11-04,290.44,1.0,2.35,1.4,4.4,11.73,0.68,651
SELL,243,IWM,2024-12-10,233.27,127.79,2024-11-05,215.36,13.76,14.91,2288.78,2273.87,8.26,24,rotation (out of top-N),2024-11-04,233.8,1.3,2.81,1.3,4.0,14.06,0.92,329,2024-12-09,228.84,1.0,1.87,1.5,4.5,9.33,0.83,364
SELL,244,IJR,2024-12-17,119.1,246.83,2024-11-05,111.5,13.76,14.7,1875.91,1861.21,6.76,29,rotation (out of top-N),2024-11-04,120.7,1.3,2.58,1.4,4.0,12.9,1.05,336,2024-12-16,113.57,0.7,0.77,1.8,5.2,3.84,0.69,378
SELL,245,IJH,2024-12-03,65.68,465.42,2024-11-19,62.3,14.5,15.28,1573.11,1557.82,5.37,9,rotation (out of top-N),2024-11-18,65.32,1.0,2.26,1.4,4.4,11.3,0.65,357,2024-12-02,65.16,0.9,2.02,1.5,4.6,10.11,0.65,371
SELL,246,DIA,2024-12-03,437.57,68.63,2024-11-26,435.05,14.93,15.02,172.95,157.94,0.53,4,rotation (out of top-N),2024-11-25,438.49,0.9,2.35,1.4,4.5,11.74,0.54,735,2024-12-02,435.62,0.8,2.12,1.5,4.7,10.6,0.43,742
SELL,247,VGT,2025-01-28,75.89,385.83,2024-12-03,77.72,14.99,14.64,-706.07,-720.71,-2.4,36,rotation (out of top-N),2024-12-02,79.93,1.1,2.94,1.3,4.2,14.71,0.51,672,2025-01-27,76.56,1.3,1.08,1.7,4.4,5.41,1.61,728
SELL,248,VTI,2025-02-25,289.11,101.98,2024-12-03,294.04,14.99,14.74,-502.77,-517.51,-1.73,55,rotation (out of top-N),2024-12-02,296.06,0.8,2.37,1.4,4.6,11.84,0.28,679,2025-02-24,287.7,0.7,0.75,1.8,5.1,3.74,0.79,763
SELL,249,QQQ,2025-02-25,515.4,58.87,2024-12-03,509.33,14.99,15.17,357.37,342.2,1.14,55,rotation (out of top-N),2024-12-02,521.75,0.9,2.45,1.4,4.4,12.26,0.5,658,2025-02-24,504.41,0.8,0.59,1.9,5.0,2.95,1.0,742
SELL,250,SCHB,2025-02-25,22.65,1302.63,2024-12-03,23.02,14.99,14.75,-481.97,-496.73,-1.66,55,rotation (out of top-N),2024-12-02,23.2,0.8,2.38,1.4,4.7,11.88,0.24,679,2025-02-24,22.53,0.7,0.74,1.8,5.1,3.7,0.77,763
