symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
DIA,12,58.3,-1385.82,-115.49,-0.62,3.32,-6.33,11.8
EEM,11,72.7,80341.28,7303.75,6.34,54.69,-6.47,40.7
EFA,7,71.4,9939.89,1419.98,5.55,16.12,-0.63,43.1
IJH,13,69.2,9348.48,719.11,3.02,31.39,-5.01,21.2
IJR,9,100.0,17796.71,1977.41,9.12,39.6,0.9,44.1
IWM,11,72.7,14980.81,1361.89,8.14,40.31,-3.05,40.8
QQQ,14,64.3,27536.5,1966.89,9.45,47.48,-11.64,67.0
RSP,11,54.5,2832.85,257.53,1.28,12.94,-4.1,21.5
SCHB,20,80.0,7824.04,391.2,2.55,10.15,-4.23,23.6
SCHD,11,45.5,5354.54,486.78,2.08,12.83,-3.85,36.9
SMH,11,81.8,29336.52,2666.96,29.23,119.61,-12.67,97.6
SPY,17,70.6,12074.1,710.24,3.13,17.51,-6.53,39.4
TLT,4,100.0,3018.14,754.53,4.73,11.71,0.66,30.5
VGT,14,64.3,46768.7,3340.62,11.21,51.56,-13.21,71.9
VTI,23,60.9,5324.59,231.5,2.02,9.03,-1.98,21.5
VTV,12,66.7,1432.71,119.39,0.73,3.39,-3.59,29.7
VUG,10,70.0,22030.74,2203.07,12.13,45.7,-21.71,88.7
XLB,14,71.4,4126.38,294.74,2.93,18.91,-4.35,27.2
XLC,12,91.7,27289.69,2274.14,9.75,65.82,0.35,68.0
XLE,14,57.1,29462.25,2104.45,8.24,59.58,-7.24,47.4
XLF,7,71.4,16948.42,2421.2,10.66,23.94,-5.45,103.6
XLI,16,75.0,7478.61,467.41,2.78,12.86,-2.26,31.5
XLK,13,53.8,29997.98,2307.54,10.05,50.21,-12.68,71.1
XLP,11,45.5,-6528.34,-593.49,-1.71,3.25,-12.11,30.3
XLRE,9,55.6,339.11,37.68,-0.31,13.27,-21.79,37.9
XLU,12,83.3,7613.38,634.45,0.94,16.4,-20.16,40.2
XLV,14,57.1,974.19,69.58,0.03,5.13,-19.37,24.0
XLY,10,70.0,5450.87,545.09,4.65,20.47,-1.9,44.7
