year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2020,0.0,0.0,-5.42,3.5,3.68,7.18,6.95,11.5,-5.95,-2.63,15.21,7.36,46.93
2021,4.8,6.24,5.88,5.22,3.49,0.76,1.87,4.03,-4.94,10.72,4.8,4.34,57.76
2022,0.26,1.74,8.03,-1.24,7.47,-9.47,5.37,0.41,-7.31,11.16,1.87,-2.72,14.39
2023,2.97,0.55,8.56,0.06,10.57,5.92,5.14,-1.74,-6.15,-2.05,12.65,6.31,49.8
2024,3.94,8.4,4.2,-3.94,9.3,7.49,-0.34,7.53,3.68,0.9,10.09,-2.79,58.96
2025,5.36,-2.04,-3.45,2.6,4.88,6.06,3.75,1.25,9.14,8.12,-3.17,2.96,40.58
2026,9.77,4.76,-1.79,12.42,17.51,4.41,-10.12,2.87,1.27,0.0,0.0,0.0,45.85
