year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2020,0.0,0.0,-11.74,4.7,5.87,5.89,6.29,10.86,-5.28,-3.39,11.9,5.16,31.44
2021,-0.48,6.71,5.19,3.1,2.97,1.06,1.43,3.62,-5.15,8.29,1.79,3.26,36.0
2022,-2.16,-0.78,4.54,-2.72,3.92,-4.67,1.92,-1.59,-2.55,4.39,3.2,-2.11,0.81
2023,3.06,-0.61,5.25,1.11,4.94,6.21,3.56,-1.7,-5.07,-2.02,10.82,5.28,34.22
2024,1.74,5.14,2.57,-3.01,6.43,2.98,2.72,5.76,1.95,-0.15,8.72,-2.8,36.29
2025,3.09,-0.99,-1.83,-0.74,4.1,5.42,1.55,2.68,6.26,3.81,-0.77,1.51,26.46
2026,6.86,5.61,-6.57,11.96,8.53,1.71,-3.77,3.13,0.85,0.0,0.0,0.0,30.41
