metric,value
window_start,2020-03-02
window_end,2026-09-09
trading_days,1640
calendar_days,2382
top_n,10
score,emasma
exit,rebalance
universe_is_etf,True
tickers,
initial_capital_usd,100000.0
final_equity_usd,530918.72
total_return_pct,430.92
cagr_pct,29.15
annualized_vol_pct,17.58
sharpe_ratio,1.57
sortino_ratio,1.45
max_drawdown_pct,-20.3
calmar_ratio,1.44
closed_trades,332
open_at_sample_end,10
total_trades,342
total_cost_usd,7953.36
win_rate_pct,68.07
profit_factor,7.08
avg_win_usd,1885.62
avg_loss_usd,-646.79
expectancy_usd_per_trade,1102.41
best_trade_usd,79090.51
worst_trade_usd,-3621.02
best_trade_pct,105.66
worst_trade_pct,-21.79
avg_hold_trading_days,42.52
max_losing_streak,9
days_invested_pct,100.0
avg_positions,9.04
cost_per_side_bps,5.0
ledger_sum_usd,530918.76
ledger_delta_usd,-0.04
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,171.38
benchmark_spy_cagr_pct,16.53
benchmark_vti_return_pct,164.14
benchmark_vti_cagr_pct,16.05
benchmark_eqw_universe_return_pct,161.71
benchmark_eqw_universe_cagr_pct,15.88
