kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
SELL,164,EEM,2025-05-13,44.26,4771.68,2025-04-29,42.34,101.02,105.6,9161.62,9056.02,4.48,10,rotation (out of top-N),2025-05-12,44.94,42.81,42.15,44.57,43.38,42.15,44.61,44.33,6.62,0.62,14,1.32,2.5,4.4,6.7
BUY,166,EEM,2025-05-20,44.85,4979.8,,,111.67,,,,,,,2025-05-19,44.91,43.19,42.24,45.03,44.37,42.3,45.02,44.84,6.33,0.41,21,1.27,2.2,4.3,6.7
SELL,163,XLF,2025-05-20,50.42,4432.01,2025-04-22,45.48,100.78,111.73,21894.13,21782.4,10.81,20,rotation (out of top-N),2025-05-19,49.12,48.39,47.34,50.66,49.73,47.68,50.65,50.34,3.77,0.61,553,0.75,0.6,1.8,5.2
BUY,167,SMH,2025-06-17,261.63,841.46,,,110.08,,,,,,,2025-06-16,259.46,240.12,238.09,262.56,255.97,233.8,262.7,259.02,8.97,1.4,0,1.79,3.4,4.6,6.2
SELL,165,XLC,2025-06-17,102.27,2153.7,2025-05-13,98.01,105.54,110.13,9174.77,9064.64,4.29,24,rotation (out of top-N),2025-06-16,101.32,98.79,95.45,102.8,101.73,97.89,102.83,101.91,6.15,0.9,854,1.23,0.9,1.7,4.8
BUY,168,XLC,2025-06-24,103.28,2242.34,,,115.79,,,,,,,2025-06-23,106.34,100.16,95.93,102.6,101.87,99.11,102.59,101.42,10.85,1.14,861,2.17,1.3,1.5,4.2
SELL,166,EEM,2025-06-24,46.53,4979.8,2025-05-20,44.85,111.67,115.86,8366.07,8250.21,3.69,23,rotation (out of top-N),2025-06-23,47.17,44.88,42.79,45.81,45.74,44.65,45.77,45.53,10.22,0.52,56,2.04,1.9,3.6,5.7
BUY,169,VGT,2025-07-01,82.24,2747.17,,,112.96,,,,,,,2025-06-30,83.88,77.32,74.75,82.55,80.4,76.46,82.64,82.18,12.21,0.56,14,2.44,2.7,4.2,6.2
BUY,170,XLK,2025-07-01,125.55,1799.5,,,112.96,,,,,,,2025-06-30,127.81,117.84,113.01,125.95,122.83,116.53,126.02,124.99,13.1,0.81,21,2.62,2.8,4.0,5.8
SELL,159,EFA,2025-07-01,86.16,2469.8,2025-03-04,77.83,96.11,106.4,20573.46,20467.06,10.65,82,rotation (out of top-N),2025-06-30,86.56,83.82,77.61,86.43,85.31,83.99,86.43,86.01,11.53,0.48,140,2.31,0.9,1.4,4.5
SELL,168,XLC,2025-07-01,106.76,2242.34,2025-06-24,103.28,115.79,119.7,7803.33,7683.64,3.32,5,rotation (out of top-N),2025-06-30,106.7,101.35,96.4,107.18,104.26,100.55,107.16,106.16,10.69,0.94,868,2.14,1.2,1.5,4.3
BUY,171,EEM,2025-08-19,49.14,4863.41,,,119.49,,,,,,,2025-08-18,49.66,47.82,43.78,49.27,48.78,47.95,49.27,49.14,13.43,0.27,112,2.69,1.0,1.5,4.6
