date,pct_uptrend,total
2023-07-03,54.74747474747475,495
2023-07-10,56.76767676767677,495
2023-07-17,62.02020202020202,495
2023-07-24,64.24242424242425,495
2023-07-31,62.02020202020202,495
2023-08-07,52.323232323232325,495
2023-08-14,43.23232323232323,495
2023-08-21,30.1010101010101,495
2023-08-28,27.27272727272727,495
2023-09-11,33.131313131313135,495
2023-09-18,31.048387096774192,496
2023-09-25,23.387096774193548,496
2023-10-02,16.93548387096774,496
2023-10-09,15.120967741935484,496
2023-10-16,23.18548387096774,496
2023-10-23,17.338709677419356,496
2023-10-30,12.298387096774194,496
2023-11-06,24.193548387096776,496
2023-11-13,34.87903225806452,496
2023-11-20,43.346774193548384,496
2023-11-27,48.185483870967744,496
2023-12-04,53.42741935483871,496
2023-12-11,59.07258064516129,496
2023-12-18,62.298387096774185,496
2024-01-08,68.75,496
2024-01-22,63.50806451612904,496
2024-01-29,59.07258064516129,496
2024-02-05,54.32595573440644,497
2024-02-12,54.52716297786721,497
2024-02-26,58.95372233400402,497
2024-03-04,64.1851106639839,497
2024-03-11,70.82494969818913,497
2024-03-18,68.61167002012073,497
2024-03-25,69.01408450704226,497
2024-04-01,70.82494969818913,497
2024-04-08,65.59356136820925,497
2024-04-15,46.88128772635815,497
2024-04-22,27.96780684104628,497
2024-04-29,34.00402414486921,497
2024-05-06,36.820925553319924,497
2024-05-13,49.69818913480885,497
2024-05-20,57.3440643863179,497
2024-06-03,50.50301810865191,497
2024-06-10,49.69818913480885,497
2024-06-17,43.66197183098591,497
2024-06-24,45.47283702213279,497
2024-07-01,40.44265593561368,497
2024-07-08,38.75502008032129,498
2024-07-15,51.606425702811244,498
2024-07-22,58.23293172690763,498
2024-07-29,53.81526104417671,498
2024-08-05,48.19277108433735,498
2024-08-12,43.57429718875502,498
2024-08-19,51.40562248995983,498
2024-08-26,61.24497991967871,498
2024-09-09,58.835341365461844,498
2024-09-16,64.65863453815261,498
2024-09-23,69.67871485943775,498
2024-09-30,70.08032128514057,498
2024-10-07,61.44578313253012,498
2024-10-14,57.42971887550201,498
2024-10-21,60.44176706827309,498
2024-10-28,54.61847389558233,498
2024-11-04,46.58634538152611,498
2024-11-11,54.41767068273092,498
2024-11-18,54.41767068273092,498
2024-11-25,57.831325301204814,498
2024-12-02,62.85140562248996,498
2024-12-09,59.63855421686747,498
2024-12-16,48.99598393574297,498
2024-12-23,23.293172690763054,498
2024-12-30,19.477911646586346,498
2025-01-06,13.600000000000001,500
2025-01-13,11.600000000000001,500
2025-01-27,37.6,500
2025-02-03,44.800000000000004,500
2025-02-10,47.8,500
2025-02-24,42.8,500
2025-03-03,39.0,500
2025-03-10,27.800000000000004,500
2025-03-17,20.200000000000003,500
2025-03-24,21.8,500
2025-03-31,21.8,500
2025-04-07,13.200000000000001,500
2025-04-14,9.4,500
2025-04-21,12.6,500
2025-04-28,18.8,500
2025-05-05,27.0,500
2025-05-12,30.2,500
2025-05-19,32.4,500
2025-06-02,39.4,500
2025-06-09,36.6,500
2025-06-16,36.199999999999996,500
2025-06-23,34.8,500
2025-06-30,40.0,500
2025-07-07,46.0,500
2025-07-14,47.599999999999994,500
2025-07-21,48.6,500
2025-07-28,49.8,500
2025-08-04,45.6,500
2025-08-11,42.8,500
2025-08-18,46.0,500
2025-08-25,50.2,500
2025-09-08,49.8,500
2025-09-15,48.0,500
2025-09-22,48.199999999999996,500
2025-09-29,48.4,500
2025-10-06,48.199999999999996,500
2025-10-13,40.0,500
2025-10-20,39.2,500
2025-10-27,40.0,500
2025-11-03,36.8,500
2025-11-10,36.199999999999996,500
2025-11-17,35.12974051896208,501
2025-11-24,31.736526946107784,501
2025-12-01,41.11776447105788,501
2025-12-08,45.50898203592814,501
2025-12-15,45.309381237524946,501
2025-12-22,45.50898203592814,501
2025-12-29,45.90818363273453,501
2026-01-05,46.10778443113773,501
2026-01-12,48.70259481037924,501
2026-01-26,50.0998003992016,501
2026-02-02,50.29940119760479,501
2026-02-09,54.091816367265466,501
2026-02-23,54.49101796407185,501
2026-03-02,52.09580838323353,501
2026-03-09,42.115768463073856,501
2026-03-16,30.33932135728543,501
2026-03-23,20.958083832335326,501
2026-03-30,17.16566866267465,501
2026-04-06,18.962075848303392,501
2026-04-13,31.736526946107784,501
2026-04-20,36.72654690618762,501
2026-04-27,38.32335329341318,501
2026-05-04,40.91816367265469,501
2026-05-11,39.6414342629482,502
2026-05-18,36.45418326693227,502
2026-06-01,37.12574850299401,501
2026-06-08,39.12175648702595,501
2026-06-15,41.91616766467065,501
2026-06-22,42.315369261477045,501
2026-06-29,44.800000000000004,500
