metric,value
window_start,2021-09-20
window_end,2026-09-08
trading_days,1247
calendar_days,1814
top_n,10
score,mtf
exit,rebalance
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,10216444.98
total_return_pct,10116.44
cagr_pct,153.69
annualized_vol_pct,32.08
sharpe_ratio,3.08
sortino_ratio,2.76
max_drawdown_pct,-21.05
calmar_ratio,7.3
closed_trades,581
open_at_sample_end,1
total_trades,582
total_cost_usd,143058.33
win_rate_pct,66.95
profit_factor,4.3
avg_win_usd,33884.67
avg_loss_usd,-15965.88
expectancy_usd_per_trade,17410.82
best_trade_usd,2768594.18
worst_trade_usd,-241088.37
best_trade_pct,301.84
worst_trade_pct,-28.88
avg_hold_trading_days,13.56
max_losing_streak,6
days_invested_pct,64.04
avg_positions,6.33
cost_per_side_bps,5.0
ledger_sum_usd,10216444.96
ledger_delta_usd,0.02
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.89
benchmark_spy_cagr_pct,13.65
benchmark_vti_return_pct,80.47
benchmark_vti_cagr_pct,12.61
benchmark_eqw_universe_return_pct,141.56
benchmark_eqw_universe_cagr_pct,19.42
