metric,value
window_start,2021-09-20
window_end,2026-09-08
trading_days,1247
calendar_days,1814
top_n,3
score,mtf
exit,rebalance
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,58175520.3
total_return_pct,58075.52
cagr_pct,260.0
annualized_vol_pct,50.52
sharpe_ratio,2.8
sortino_ratio,2.75
max_drawdown_pct,-35.81
calmar_ratio,7.26
closed_trades,236
open_at_sample_end,1
total_trades,237
total_cost_usd,725174.19
win_rate_pct,67.37
profit_factor,6.66
avg_win_usd,429701.99
avg_loss_usd,-133135.07
expectancy_usd_per_trade,246064.47
best_trade_usd,27485487.88
worst_trade_usd,-1890036.39
best_trade_pct,272.55
worst_trade_pct,-19.52
avg_hold_trading_days,10.04
max_losing_streak,5
days_invested_pct,64.04
avg_positions,1.9
cost_per_side_bps,5.0
ledger_sum_usd,58175520.33
ledger_delta_usd,-0.03
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.89
benchmark_spy_cagr_pct,13.65
benchmark_vti_return_pct,80.47
benchmark_vti_cagr_pct,12.61
benchmark_eqw_universe_return_pct,141.56
benchmark_eqw_universe_cagr_pct,19.42
