kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
SELL,277,COHR,2026-05-05,329.17,3811.29,2026-04-28,303.65,578.65,627.28,97264.07,96636.79,8.35,5,rotation (out of top-N),2026-05-04,335.15,296.89,188.82,329.88,322.91,284.62,329.88,317.89,77.5,3.63,294,5,5.4,-1,0.6
SELL,275,FIX,2026-05-05,1959.3,674.86,2026-04-28,1714.87,578.65,661.13,164956.09,164294.96,14.2,5,rotation (out of top-N),2026-05-04,1949.24,1618.4,1105.85,1891.48,1778.19,1541.78,1891.48,1847.96,76.27,2.3,350,5,4.5,-1,1.5
SELL,278,INTC,2026-05-05,100.5,14234.03,2026-04-28,81.31,578.65,715.3,273293.32,272578.02,23.55,5,rotation (out of top-N),2026-05-04,124.91,76.1,44.3,95.77,86.0,59.52,95.54,92.95,182.0,2.71,266,5,4.8,-1,1.2
SELL,266,LITE,2026-05-05,975.83,1160.13,2026-03-17,597.38,346.52,566.04,439050.66,438484.61,63.27,34,rotation (out of top-N),2026-05-04,903.12,806.63,416.82,976.21,894.05,790.07,976.21,933.77,116.67,4.35,322,5,5.9,-1,0.1
SELL,276,MU,2026-05-05,609.64,2304.64,2026-04-28,502.16,578.65,702.5,247702.61,247000.11,21.34,5,rotation (out of top-N),2026-05-04,747.1,496.16,303.49,576.27,514.32,434.33,578.63,559.28,146.17,3.34,329,5,5.2,-1,0.8
BUY,284,INOD,2026-05-12,103.08,13984.42,,,720.72,,,,,,,2026-05-11,96.0,59.19,56.01,103.96,61.31,44.92,103.96,88.47,71.4,14.9,0,5,8.0,2.0,2.0
SELL,283,BAND,2026-05-12,49.52,29074.29,2026-05-05,44.99,654.03,719.81,131561.14,130841.34,10.0,5,rotation (out of top-N),2026-05-11,53.99,32.79,18.21,49.97,42.6,24.41,49.97,47.79,196.54,4.36,49,5,7.1,1.2,1.3
BUY,285,ALAB,2026-05-19,211.62,8795.98,,,930.68,,,,,,,2026-05-18,307.03,203.46,171.24,215.75,214.23,170.18,215.75,201.94,79.3,6.4,14,5,7.8,1.8,1.8
SELL,280,DDOG,2026-05-19,210.47,8849.25,2026-05-05,147.81,654.03,931.25,554449.85,553518.6,42.32,10,rotation (out of top-N),2026-05-18,222.36,164.56,142.89,208.65,190.76,140.36,208.65,202.63,55.61,2.89,14,5,6.5,2.0,2.8
BUY,286,DDOG,2026-06-02,264.25,12267.93,,,1620.9,,,,,,,2026-06-01,276.95,197.33,149.3,277.45,230.38,164.77,277.45,266.37,85.49,3.99,28,5,7.2,1.5,1.9
BUY,287,NTAP,2026-06-02,183.2,17695.41,,,1620.9,,,,,,,2026-06-01,174.86,134.48,112.83,179.79,146.43,116.31,179.79,170.59,54.98,5.12,21,5,7.4,1.9,1.6
SELL,281,AGL,2026-06-02,89.62,49435.08,2026-05-05,26.46,654.03,2215.31,3122566.56,3120351.25,238.55,19,rotation (out of top-N),2026-06-01,96.31,61.86,27.65,92.48,85.07,48.01,92.48,89.09,248.34,3.66,28,5,7.0,1.5,2.1
SELL,279,XMTR,2026-06-02,84.99,24220.94,2026-05-05,54.01,654.03,1029.27,750485.96,749456.69,57.3,19,rotation (out of top-N),2026-06-01,80.51,72.16,57.11,95.19,90.96,64.74,92.74,89.88,40.98,3.08,28,5,5.6,2.5,2.5
BUY,288,ARM,2026-06-09,362.25,8119.19,,,1470.61,,,,,,,2026-06-08,380.2,274.97,164.52,346.56,351.41,247.64,346.56,325.24,131.1,6.15,56,5,7.1,1.1,1.1
BUY,289,CRDO,2026-06-09,226.39,12991.81,,,1470.61,,,,,,,2026-06-08,250.6,196.86,152.78,222.29,215.66,190.82,222.29,202.16,64.03,9.06,42,5,7.3,1.3,1.3
SELL,286,DDOG,2026-06-09,232.05,12267.93,2026-06-02,264.25,1620.9,1423.39,-395027.28,-396450.66,-12.23,5,rotation (out of top-N),2026-06-08,229.92,203.25,151.65,231.74,238.02,181.42,231.74,224.13,51.61,3.28,35,5,6.2,1.8,2.2
SELL,287,NTAP,2026-06-09,171.7,17695.41,2026-06-02,183.2,1620.9,1519.15,-203497.27,-205016.42,-6.32,5,rotation (out of top-N),2026-06-08,161.61,139.41,113.94,170.38,164.41,126.13,170.38,165.47,41.84,2.88,28,5,5.5,2.4,2.6
BUY,291,AGL,2026-06-16,110.72,21538.12,,,1192.3,,,,,,,2026-06-15,113.08,78.52,31.84,113.48,102.67,67.54,113.48,106.52,255.1,6.13,42,5,7.3,1.3,1.3
BUY,292,CBRL,2026-06-16,43.15,55262.86,,,1192.3,,,,,,,2026-06-15,47.15,36.51,32.15,43.2,39.81,32.75,43.2,40.97,46.66,5.17,7,5,7.2,2.6,1.9
BUY,290,COOK,2026-06-16,71.69,33262.55,,,1192.3,,,,,,,2026-06-15,70.91,56.56,47.96,71.69,66.2,51.27,71.69,65.48,47.85,8.67,14,5,7.2,2.4,1.8
SELL,288,ARM,2026-06-16,399.74,8119.19,2026-06-09,362.25,1470.61,1622.78,304347.79,302725.01,10.29,5,rotation (out of top-N),2026-06-15,439.19,304.83,171.73,412.49,359.16,271.63,412.49,392.97,155.74,4.73,63,5,7.0,-0.0,0.9
SELL,284,INOD,2026-06-16,100.64,13984.42,2026-05-12,103.08,720.72,703.7,-34052.06,-34755.76,-2.41,24,rotation (out of top-N),2026-06-15,95.43,84.73,62.92,99.5,102.3,80.15,99.5,92.32,51.67,7.22,35,5,7.0,1.8,1.4
SELL,282,PENG,2026-06-16,63.72,39316.26,2026-05-05,33.27,654.03,1252.52,1196983.66,1195731.14,91.41,29,rotation (out of top-N),2026-06-15,67.23,50.43,27.51,63.91,62.42,47.09,63.91,60.87,144.39,4.77,56,5,7.1,1.1,1.1
BUY,293,PENG,2026-06-23,61.67,47957.12,,,1478.76,,,,,,,2026-06-22,62.34,52.6,28.38,67.94,63.58,50.68,67.94,62.94,119.64,7.37,63,5,7.0,-0.0,0.9
BUY,294,SEZL,2026-06-23,149.0,19849.1,,,1478.76,,,,,,,2026-06-22,170.81,123.86,80.45,156.38,141.64,109.97,156.38,149.7,112.31,4.27,49,5,7.0,1.2,1.3
SELL,291,AGL,2026-06-23,106.38,21538.12,2026-06-16,110.72,1192.3,1145.61,-93367.73,-94513.34,-3.96,4,rotation (out of top-N),2026-06-22,117.31,85.58,34.05,113.05,107.41,75.97,113.05,109.02,244.57,3.57,49,5,6.6,1.2,1.8
SELL,289,CRDO,2026-06-23,279.11,12991.81,2026-06-09,226.39,1470.61,1813.07,684928.43,683115.36,23.23,9,rotation (out of top-N),2026-06-22,239.96,215.75,157.27,302.6,256.38,210.66,302.6,283.17,52.58,6.42,56,5,6.7,1.4,1.1
BUY,297,AGL,2026-06-30,114.58,27782.03,,,1591.7,,,,,,,2026-06-29,111.16,90.23,36.15,114.97,110.48,86.54,114.97,108.42,207.5,5.7,56,5,7.1,1.1,1.1
BUY,296,FROG,2026-06-30,89.03,35756.52,,,1591.7,,,,,,,2026-06-29,94.79,77.39,58.23,90.07,82.54,74.32,90.07,86.46,62.8,4.01,49,5,6.9,1.2,1.5
BUY,295,MNPR,2026-06-30,97.07,32794.92,,,1591.7,,,,,,,2026-06-29,97.39,71.63,68.64,94.27,79.91,64.73,94.27,90.36,41.88,4.14,0,5,6.9,2.9,2.2
SELL,292,CBRL,2026-06-30,53.56,55262.86,2026-06-16,43.15,1192.3,1479.94,575286.39,573806.45,24.06,9,rotation (out of top-N),2026-06-29,53.24,41.94,32.63,53.69,47.7,36.62,53.69,52.09,63.17,2.97,21,5,6.6,1.7,2.7
SELL,293,PENG,2026-06-30,67.58,47957.12,2026-06-23,61.67,1478.76,1620.47,283426.57,281806.1,9.53,5,rotation (out of top-N),2026-06-29,61.38,54.19,29.26,68.03,64.97,55.23,68.03,64.2,109.76,5.64,70,5,6.8,-0.2,0.8
SELL,294,SEZL,2026-06-30,169.07,19849.1,2026-06-23,149.0,1478.76,1677.99,398470.62,396792.63,13.42,5,rotation (out of top-N),2026-06-29,183.37,134.68,82.93,170.56,156.5,120.46,170.56,164.67,121.11,3.46,56,5,6.4,1.1,1.8
BUY,300,CRDO,2026-07-07,251.55,12870.54,,,1618.79,,,,,,,2026-07-06,257.78,227.28,162.59,265.33,257.52,227.79,265.33,242.66,58.54,8.54,70,5,6.8,-0.1,0.8
BUY,298,FBRX,2026-07-07,20.58,157316.99,,,1618.79,,,,,,,2026-07-06,43.96,25.37,23.85,20.42,20.08,20.06,20.42,19.48,84.3,4.62,0,5,8.0,2.0,2.0
BUY,299,SEZL,2026-07-07,180.5,17936.75,,,1618.79,,,,,,,2026-07-06,179.25,142.78,85.28,179.14,168.36,129.62,179.14,171.18,110.2,4.44,63,5,6.9,-0.0,1.0
SELL,297,AGL,2026-07-07,108.44,27782.03,2026-06-30,114.58,1591.7,1506.34,-170720.54,-172226.89,-5.41,4,rotation (out of top-N),2026-07-06,115.21,94.77,38.32,107.61,109.96,94.73,107.61,103.61,200.65,3.71,63,5,6.4,-0.0,1.5
SELL,296,FROG,2026-07-07,98.25,35756.52,2026-06-30,89.03,1591.7,1756.54,329675.15,327918.61,10.3,4,rotation (out of top-N),2026-07-06,90.72,79.81,59.29,98.09,88.97,78.4,98.09,94.85,53.01,3.31,56,5,5.9,1.4,1.9
SELL,295,MNPR,2026-07-07,97.33,32794.92,2026-06-30,97.07,1591.7,1595.97,8526.68,6930.72,0.22,4,rotation (out of top-N),2026-07-06,106.31,77.93,68.8,98.01,88.95,68.64,98.01,96.09,54.54,1.96,7,5,5.9,2.2,3.6
BUY,302,AGL,2026-07-14,114.72,26001.22,,,1491.49,,,,,,,2026-07-13,128.43,100.89,40.94,115.92,112.61,101.02,115.92,110.8,213.68,4.42,70,5,6.8,-0.2,0.9
BUY,301,MNPR,2026-07-14,100.71,29619.6,,,1491.49,,,,,,,2026-07-13,110.3,83.82,69.31,102.65,97.49,73.54,102.65,98.93,59.13,3.63,14,5,7.1,1.8,2.3
BUY,303,PENG,2026-07-14,79.12,37702.09,,,1491.49,,,,,,,2026-07-13,60.33,58.9,31.51,77.2,72.91,62.58,77.2,71.4,91.47,7.52,84,5,6.6,-0.4,0.6
SELL,285,ALAB,2026-07-14,392.03,8795.98,2026-05-19,211.62,930.68,1724.14,1586926.16,1585202.02,85.16,37,rotation (out of top-N),2026-07-13,303.21,336.66,204.32,361.89,402.19,359.01,359.56,338.21,48.4,5.94,70,5,6.3,0.4,0.8
SELL,290,COOK,2026-07-14,68.59,33262.55,2026-06-16,71.69,1192.3,1140.74,-103113.92,-104254.66,-4.37,18,rotation (out of top-N),2026-07-13,66.51,65.09,49.31,69.19,71.0,65.57,69.19,63.76,34.89,7.85,42,5,6.0,2.6,1.3
SELL,300,CRDO,2026-07-14,250.44,12870.54,2026-07-07,251.55,1618.79,1611.65,-14286.3,-15897.95,-0.49,5,rotation (out of top-N),2026-07-13,202.23,222.72,164.18,236.7,253.96,235.05,236.7,223.28,23.18,5.67,77,4.64,4.9,1.6,1.4
