kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,1,TSLA,2023-07-05,279.0,358.24,,,49.98,,,,,,,2023-07-03,274.44,234.04,190.46,279.9,259.26,216.79,279.01,271.76,44.1,2.6,28,5,5.5,2.3,2.8
BUY,3,COIN,2023-07-11,80.89,396.4,,,16.03,,,,,,,2023-07-10,105.42,71.8,58.77,81.21,74.24,61.84,81.21,77.82,79.38,4.17,119,5,5.8,-1.0,0.2
BUY,4,CVNA,2023-07-11,6.92,4634.71,,,16.03,,,,,,,2023-07-10,7.54,4.62,2.36,6.85,5.44,3.81,6.85,6.24,219.35,9.01,35,5,7.4,1.4,1.4
BUY,2,PLTR,2023-07-11,16.5,1943.8,,,16.03,,,,,,,2023-07-10,16.4,14.04,9.33,16.3,15.41,14.02,16.3,15.78,75.75,3.19,91,5,5.6,-0.5,1.4
SELL,1,TSLA,2023-07-11,268.63,358.24,2023-07-05,279.0,49.98,48.12,-3714.99,-3763.1,-3.76,4,rotation (out of top-N),2023-07-10,281.39,242.65,191.92,269.49,267.8,227.37,269.49,263.18,46.62,2.34,35,5,5.3,2.1,2.9
BUY,5,SMCI,2023-07-25,30.96,1031.44,,,15.97,,,,,,,2023-07-24,33.45,25.78,13.64,30.95,29.55,25.21,30.95,29.62,145.31,4.28,462,5,5.9,-1,0.1
SELL,2,PLTR,2023-07-25,16.42,1943.8,2023-07-11,16.5,16.03,15.96,-145.78,-161.74,-0.5,10,rotation (out of top-N),2023-07-24,17.8,15.08,9.79,16.32,16.74,15.54,16.32,15.76,81.83,3.45,105,5,5.5,-0.8,1.0
BUY,6,PLTR,2023-08-01,19.4,1957.99,,,18.99,,,,,,,2023-07-31,18.2,15.65,10.03,19.83,17.34,15.95,20.04,19.07,81.39,4.85,112,5,6.1,-0.9,0.1
SELL,3,COIN,2023-08-01,95.88,396.4,2023-07-11,80.89,16.03,19.0,5944.04,5925.04,18.48,15,rotation (out of top-N),2023-07-31,87.3,81.57,60.79,98.63,97.19,76.81,98.63,95.27,43.61,3.41,140,5,4.5,-0.2,0.7
BUY,7,APP,2023-08-15,39.66,770.86,,,15.29,,,,,,,2023-08-14,38.25,30.76,18.76,39.78,34.09,28.53,39.78,38.47,103.93,3.28,98,5,5.6,-0.6,1.2
SELL,6,PLTR,2023-08-15,15.62,1957.99,2023-08-01,19.4,18.99,15.29,-7401.19,-7416.48,-19.52,10,rotation (out of top-N),2023-08-14,14.4,15.39,10.37,15.72,16.58,16.41,15.72,15.27,38.94,2.88,126,5,3.9,0.1,1.1
BUY,8,VRT,2023-08-22,35.35,753.93,,,13.33,,,,,,,2023-08-21,37.37,29.8,18.54,34.94,33.69,28.48,34.93,34.02,101.52,2.59,294,5,4.7,-1,1.3
SELL,5,SMCI,2023-08-22,25.85,1031.44,2023-07-25,30.96,15.97,13.33,-5270.65,-5283.98,-16.55,20,rotation (out of top-N),2023-08-21,25.39,26.26,15.57,25.26,26.73,28.5,25.26,24.39,63.04,3.43,490,5,5.3,-1,0.7
BUY,9,NVDA,2023-08-29,46.66,669.61,,,15.62,,,,,,,2023-08-28,48.45,43.81,30.17,46.79,45.67,44.68,46.73,45.02,60.57,3.66,224,5,5.4,-1,0.6
SELL,7,APP,2023-08-29,40.55,770.86,2023-08-15,39.66,15.29,15.63,689.92,674.29,2.21,10,rotation (out of top-N),2023-08-28,43.2,34.36,20.13,40.66,38.88,32.23,40.66,39.83,114.59,2.03,112,5,4.5,-0.9,1.8
BUY,10,APP,2023-09-12,41.96,713.0,,,14.96,,,,,,,2023-09-11,42.79,37.05,21.64,42.38,41.86,35.67,42.38,41.59,97.75,1.86,126,5,4.2,-1,1.8
SELL,9,NVDA,2023-09-12,44.7,669.61,2023-08-29,46.66,15.62,14.97,-1312.44,-1327.41,-4.25,9,rotation (out of top-N),2023-09-11,43.85,44.07,31.56,45.15,46.64,45.66,45.09,44.05,38.94,2.31,238,5,3.5,0.1,1.5
BUY,11,CF,2023-10-03,77.69,464.21,,,18.03,,,,,,,2023-10-02,75.93,75.74,71.72,78.55,79.01,75.43,78.55,76.92,5.87,2.08,28,1.17,3.2,4.2,5.6
SELL,4,CVNA,2023-10-03,7.79,4634.71,2023-07-11,6.92,16.03,18.04,4022.93,4004.89,12.49,59,rotation (out of top-N),2023-10-02,7.53,8.31,4.46,7.85,8.48,8.86,7.85,7.47,68.97,4.84,119,5,6.0,-1.0,0.0
BUY,12,PLTR,2023-10-10,18.07,1860.99,,,16.81,,,,,,,2023-10-09,17.39,15.81,12.09,17.61,15.96,15.22,17.61,16.81,43.81,4.56,182,5,5.2,-0.2,0.0
BUY,13,SMCI,2023-10-10,29.5,1139.94,,,16.81,,,,,,,2023-10-09,28.51,27.06,18.83,29.01,27.74,26.42,29.01,28.09,51.41,3.18,539,5,4.7,-0.6,0.9
SELL,10,APP,2023-10-10,41.7,713.0,2023-09-12,41.96,14.96,14.87,-185.38,-200.25,-0.67,20,rotation (out of top-N),2023-10-09,38.53,38.24,24.56,40.84,40.11,40.5,40.84,39.95,56.9,2.16,154,5,4.3,-0.8,1.6
SELL,11,CF,2023-10-10,80.94,464.21,2023-10-03,77.69,18.03,18.79,1508.69,1489.91,4.13,5,rotation (out of top-N),2023-10-09,79.32,76.39,71.75,80.82,78.17,75.72,80.82,79.01,10.55,2.24,35,2.11,3.4,3.9,4.9
