year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,2.33,-1.11,-0.4,0.53,20.65,21.84,48.93
2024,-6.29,28.9,18.58,-3.34,16.47,-1.8,-1.94,6.33,13.85,26.59,35.6,-2.97,213.14
2025,11.52,4.48,-4.5,8.65,17.06,31.59,22.71,5.56,25.7,17.22,17.68,9.27,357.12
2026,20.49,22.13,13.83,37.61,118.49,9.77,22.3,-1.61,0.02,0.0,0.0,0.0,565.48
