symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
VST,7,85.7,43141.81,6163.12,15.07,39.36,-5.56,22.6
VTRS,1,100.0,128.72,128.72,0.72,0.72,0.72,9.0
WAT,1,100.0,125.4,125.4,0.4,0.4,0.4,5.0
WBD,8,62.5,20565.85,2570.73,1.08,11.47,-7.07,7.4
WDC,10,90.0,503866.7,50386.67,15.68,56.33,-0.94,14.8
WRB,1,0.0,-5311.19,-5311.19,-7.24,-7.24,-7.24,5.0
WSM,2,50.0,3406.28,1703.14,2.58,6.58,-1.43,4.5
WYNN,1,0.0,-1529.51,-1529.51,-2.0,-2.0,-2.0,10.0
XMTR,1,100.0,430213.42,430213.42,57.3,57.3,57.3,19.0
XYZ,3,66.7,8007.28,2669.09,4.68,9.59,-0.48,11.0
ZBH,1,100.0,807.61,807.61,1.07,1.07,1.07,5.0
