kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_buy_sig_date,sig_buy_sig_w_close,sig_buy_mtf_score,sig_buy_emasma_score,sig_buy_early_score,sig_buy_near_score,sig_buy_gap_w,sig_buy_atr_dist,sig_buy_freshness_days,sig_sell_sig_date,sig_sell_sig_w_close,sig_sell_mtf_score,sig_sell_emasma_score,sig_sell_early_score,sig_sell_near_score,sig_sell_gap_w,sig_sell_atr_dist,sig_sell_freshness_days
SELL,1,TSLA,2023-08-01,266.25,358.24,2023-07-05,279.0,49.98,47.69,-4567.61,-4615.3,-4.62,19,rotation (out of top-N),2023-07-03,274.44,5.5,5,2.3,2.8,44.1,2.6,28,2023-07-31,253.76,4.0,5,2.6,2.6,29.99,2.14,56
SELL,2,HOOD,2023-08-01,12.67,0.48,2023-07-11,11.46,0.0,0.0,0.59,0.58,10.5,15,rotation (out of top-N),2023-07-10,12.38,5.4,5,3.5,2.9,28.12,3.21,7,2023-07-31,11.28,3.8,3.04,3.8,4.5,15.19,2.31,28
SELL,3,DDOG,2023-07-25,115.73,0.05,2023-07-11,102.08,0.0,0.0,0.74,0.74,13.31,10,rotation (out of top-N),2023-07-10,108.5,5.2,5,2.3,2.0,36.93,3.32,49,2023-07-24,112.17,4.2,5,1.0,2.6,38.74,2.03,63
SELL,4,APP,2023-10-10,41.7,0.2,2023-07-11,27.24,0.0,0.0,2.95,2.94,53.01,64,rotation (out of top-N),2023-07-10,28.15,5.4,5,-0.0,2.5,68.84,2.25,63,2023-10-09,38.53,4.3,5,-0.8,1.6,56.9,2.16,154
SELL,5,COHR,2023-07-18,49.67,0.11,2023-07-11,52.66,0.0,0.0,-0.31,-0.32,-5.72,5,rotation (out of top-N),2023-07-10,50.45,4.9,5,3.0,2.7,30.85,2.71,28,2023-07-17,46.02,3.9,3.64,3.5,4.0,18.18,2.38,35
SELL,6,COIN,2023-08-15,81.05,0.07,2023-07-11,80.89,0.0,0.0,0.01,0.01,0.15,25,rotation (out of top-N),2023-07-10,105.42,5.8,5,-1.0,0.2,79.38,4.17,119,2023-08-14,73.2,2.7,3.71,1.1,2.4,18.56,2.59,154
SELL,7,PLTR,2023-08-22,14.8,0.34,2023-07-11,16.5,0.0,0.0,-0.57,-0.57,-10.32,30,rotation (out of top-N),2023-07-10,16.4,5.6,5,-0.5,1.4,75.75,3.19,91,2023-08-21,14.52,4.0,5,0.1,0.9,37.69,3.1,133
SELL,8,CCL,2023-08-01,18.02,0.29,2023-07-11,19.12,0.0,0.0,-0.32,-0.32,-5.8,15,rotation (out of top-N),2023-07-10,17.06,4.5,5,-1.0,1.5,59.39,2.27,161,2023-07-31,17.0,3.6,5,-0.4,1.8,48.77,1.73,182
SELL,9,SMCI,2023-08-22,25.85,0.2,2023-07-11,27.49,0.0,0.0,-0.33,-0.33,-6.01,30,rotation (out of top-N),2023-07-10,29.51,5.5,5,-1,0.5,139.17,3.75,448,2023-08-21,25.39,5.3,5,-1,0.7,63.04,3.43,490
SELL,10,CVNA,2023-10-03,7.79,0.8,2023-07-11,6.92,0.0,0.0,0.7,0.69,12.49,59,rotation (out of top-N),2023-07-10,7.54,7.4,5,1.4,1.4,219.35,9.01,35,2023-10-02,7.53,6.0,5,-1.0,0.0,68.97,4.84,119
