timestamp,open,high,low,close,volume
2020-07-27 00:00:00-04:00,321.625,323.39,320.82,323.26,647693.0
2020-07-28 00:00:00-04:00,322.57,323.635,320.85,321.24,521475.0
2020-07-29 00:00:00-04:00,322.12,325.705,322.12,325.16,600377.0
2020-07-30 00:00:00-04:00,321.71,324.385,319.64,323.96,612074.0
2020-07-31 00:00:00-04:00,325.9,326.6,321.34,326.54,1135945.0
2020-08-03 00:00:00-04:00,328.35,329.615,327.745,328.76,576077.0
2020-08-04 00:00:00-04:00,328.15,330.0,327.96,330.0,658108.0
2020-08-05 00:00:00-04:00,331.43,332.38,331.19,332.08,505770.0
2020-08-06 00:00:00-04:00,331.46,334.46,331.17,334.28,637928.0
2020-08-07 00:00:00-04:00,333.26,334.69,332.31,334.6,646217.0
2020-08-10 00:00:00-04:00,335.055,335.765,332.99,335.52,503468.0
2020-08-11 00:00:00-04:00,336.95,337.53,332.05,332.92,765407.0
2020-08-12 00:00:00-04:00,335.45,338.26,335.45,337.42,751172.0
2020-08-13 00:00:00-04:00,336.66,338.2,335.91,336.88,495840.0
2020-08-14 00:00:00-04:00,336.46,337.39,335.74,336.86,397381.0
2020-08-17 00:00:00-04:00,337.945,338.335,337.515,337.86,379669.0
2020-08-18 00:00:00-04:00,338.35,339.08,336.67,338.63,624322.0
2020-08-19 00:00:00-04:00,339.045,339.61,336.66,337.28,957875.0
2020-08-20 00:00:00-04:00,335.39,338.78,335.22,338.22,557824.0
2020-08-21 00:00:00-04:00,337.92,339.72,337.57,339.44,560454.0
2020-08-24 00:00:00-04:00,342.13,342.97,341.1,342.97,551451.0
2020-08-25 00:00:00-04:00,343.545,344.18,342.305,344.12,597403.0
2020-08-26 00:00:00-04:00,344.74,347.84,344.17,347.61,538806.0
2020-08-27 00:00:00-04:00,348.535,349.86,346.57,348.32,828795.0
2020-08-28 00:00:00-04:00,349.44,350.71,348.235,350.54,538160.0
2020-08-31 00:00:00-04:00,350.35,351.28,349.125,349.34,745582.0
2020-09-01 00:00:00-04:00,350.205,352.66,349.27,352.59,839295.0
2020-09-02 00:00:00-04:00,354.67,358.69,353.46,357.71,896884.0
2020-09-03 00:00:00-04:00,355.89,356.37,342.61,345.42,2064568.0
2020-09-04 00:00:00-04:00,345.8,347.76,334.9,342.61,1242878.0
2020-09-08 00:00:00-04:00,336.67,338.0,332.89,333.26,969669.0
2020-09-09 00:00:00-04:00,337.61,342.44,336.67,339.9,716556.0
