timestamp,open,high,low,close,volume
2024-04-22 12:00:00+00:00,416.79,417.61,416.79,417.49,1547
2024-04-22 13:00:00+00:00,417.51,418.27,416.73,417.295,116550
2024-04-22 14:00:00+00:00,417.35,417.865,414.36,414.79,65765
2024-04-22 15:00:00+00:00,414.775,416.455,414.0,416.43,59734
2024-04-22 16:00:00+00:00,416.48,417.445,416.07,416.75,36803
2024-04-22 17:00:00+00:00,417.07,420.285,416.875,419.905,55793
2024-04-22 18:00:00+00:00,419.89,421.18,419.66,420.265,90979
2024-04-22 19:00:00+00:00,420.27,420.45,418.29,418.88,113489
2024-04-22 20:00:00+00:00,418.27,418.6,418.27,418.6,3519
2024-04-23 12:00:00+00:00,420.06,420.64,420.06,420.64,1872
2024-04-23 13:00:00+00:00,420.42,423.145,420.42,422.56,132939
2024-04-23 14:00:00+00:00,422.485,424.77,421.985,424.76,75169
2024-04-23 15:00:00+00:00,424.8,425.0,423.56,424.025,30386
2024-04-23 16:00:00+00:00,424.045,425.26,424.045,424.715,19696
2024-04-23 17:00:00+00:00,424.75,425.8,424.435,425.775,39206
2024-04-23 18:00:00+00:00,425.76,426.155,425.6,426.035,35500
2024-04-23 19:00:00+00:00,425.81,425.96,424.79,425.105,87846
2024-04-23 20:00:00+00:00,425.19,426.3,425.19,426.27,10845
2024-04-24 12:00:00+00:00,428.35,428.35,427.61,427.61,2010
2024-04-24 13:00:00+00:00,427.17,429.65,427.17,428.28,59997
2024-04-24 14:00:00+00:00,428.26,429.185,426.9,427.26,59613
2024-04-24 15:00:00+00:00,427.265,427.345,425.05,425.32,40857
2024-04-24 16:00:00+00:00,425.17,425.74,424.23,425.56,38502
2024-04-24 17:00:00+00:00,425.56,427.56,425.28,427.185,76955
2024-04-24 18:00:00+00:00,427.365,427.365,425.29,425.34,34363
2024-04-24 19:00:00+00:00,425.295,427.05,425.18,426.54,82979
2024-04-24 20:00:00+00:00,426.74,426.75,422.28,423.0,28872
2024-04-25 12:00:00+00:00,421.02,421.16,419.68,419.83,5646
2024-04-25 13:00:00+00:00,419.91,420.05,418.18,419.26,107486
2024-04-25 14:00:00+00:00,419.28,421.49,418.75,419.29,110375
2024-04-25 15:00:00+00:00,419.195,420.81,419.195,420.81,52409
