MTF BACKTEST: Portfolio by Ticker

TICKER SUMMARY (sorted by total P&L)
Ticker,Trades,Total P&L $,Avg Return %,First Buy,Last Sell,Days Held (approx)
2024-07-02,BUY,201.66,130.43,-9.58%,"-2,518.79"
2024-07-30,SELL,201.66,117.94,,
2024-10-29,BUY,0.58,126.90,+9.78%,+7.16
2025-01-14,SELL,0.58,139.31,,
2025-07-08,BUY,0.00,145.88,-11.59%,-0.00
2025-08-12,SELL,0.00,128.97,,
2025-09-16,BUY,0.00,135.85,+18.20%,+0.00
2025-10-14,SELL,0.00,160.57,,
2025-10-21,BUY,0.28,156.28,+3.64%,+1.57
2025-12-02,SELL,0.28,161.97,,
2026-05-05,BUY,1031.02,147.81,+50.08%,"+76,326.15"
2026-06-23,SELL,1031.02,221.84,,
2026-06-30,BUY,761.51,246.50,+5.39%,"+10,120.53"
2026-07-07,SELL,761.51,259.79,,
2026-08-04,BUY,1266.06,272.14,,

"=== PENG (P&L: $+75,581.45) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,4580.69,33.27,+49.59%,"+75,581.45"
2026-07-28,SELL,4580.69,49.77,,

"=== CRDO (P&L: $+73,842.72) ==="
date,side,qty,price,return%,pnl$
2026-05-19,BUY,849.47,150.59,+43.10%,"+55,139.37"
2026-06-02,SELL,849.47,215.50,,
2026-06-09,BUY,777.69,226.39,+10.62%,"+18,703.35"
2026-07-14,SELL,777.69,250.44,,

"=== ARM (P&L: $+72,240.80) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,724.44,210.37,+47.40%,"+72,240.80"
2026-07-14,SELL,724.44,310.09,,

"=== ALAB (P&L: $+70,955.70) ==="
date,side,qty,price,return%,pnl$
2026-05-12,BUY,565.16,202.45,+62.02%,"+70,955.70"
2026-07-21,SELL,565.16,328.00,,

"=== FROG (P&L: $+44,024.23) ==="
date,side,qty,price,return%,pnl$
2026-05-12,BUY,1677.78,68.19,+0.43%,+494.95
2026-05-19,SELL,1677.78,68.49,,
2026-06-02,BUY,2283.28,84.29,+0.88%,"+1,689.63"
2026-06-09,SELL,2283.28,85.03,,
2026-06-16,BUY,2367.17,80.58,+21.94%,"+41,839.65"
2026-07-07,SELL,2367.17,98.25,,

"=== MBX (P&L: $+43,909.13) ==="
date,side,qty,price,return%,pnl$
2026-07-14,BUY,3809.90,56.00,+20.58%,"+43,909.13"
2026-08-11,SELL,3809.90,67.53,,

"=== TWST (P&L: $+38,611.54) ==="
date,side,qty,price,return%,pnl$
2026-07-21,BUY,2152.26,87.83,+20.43%,"+38,611.54"
2026-08-05,SELL,2152.26,105.77,,
2026-08-11,BUY,2427.72,123.25,,

"=== BAND (P&L: $+33,620.59) ==="
date,side,qty,price,return%,pnl$
2026-05-05,BUY,3387.41,44.99,+34.62%,"+52,758.95"
2026-06-30,SELL,3387.41,60.56,,
2026-07-07,BUY,3566.98,61.94,+21.09%,"+46,602.65"
2026-07-14,SELL,3566.98,75.00,,
2026-07-21,BUY,2757.59,68.55,-34.78%,"-65,741.01"
2026-08-04,SELL,2757.59,44.71,,

"=== AMD (P&L: $+23,892.14) ==="
date,side,qty,price,return%,pnl$
2023-10-17,BUY,0.06,103.39,-2.35%,-0.16
2023-10-24,SELL,0.06,100.96,,
2023-11-07,BUY,119.47,111.90,+60.23%,"+8,052.50"
2024-04-02,SELL,119.47,179.30,,
2024-06-04,BUY,0.00,162.73,-3.57%,-0.00
2024-07-02,SELL,0.00,156.92,,
2024-07-09,BUY,0.23,177.94,-12.99%,-5.24
2024-07-23,SELL,0.23,154.82,,
2025-07-01,BUY,0.00,138.82,+9.49%,+0.00
2025-09-09,SELL,0.00,151.99,,
2025-10-07,BUY,0.00,214.85,-6.23%,-0.00
2025-11-25,SELL,0.00,201.47,,
2026-01-27,BUY,0.00,252.31,-16.12%,-0.01
2026-02-24,SELL,0.00,211.63,,
2026-04-07,BUY,0.00,219.40,+60.26%,+0.01
2026-05-05,SELL,0.00,351.60,,
2026-07-28,BUY,413.92,466.34,+8.21%,"+15,845.04"
2026-08-04,SELL,413.92,504.62,,

"=== PANW (P&L: $+22,663.05) ==="
date,side,qty,price,return%,pnl$
2023-07-11,BUY,114.68,124.51,-15.41%,"-2,200.67"
2023-08-08,SELL,114.68,105.32,,
2023-09-12,BUY,124.84,125.67,+26.32%,"+4,129.65"
2024-02-27,SELL,124.84,158.75,,
2024-04-30,BUY,183.61,146.76,+1.36%,+367.22
2024-08-06,SELL,183.61,148.76,,
2024-08-20,BUY,845.81,174.50,-0.79%,"-1,167.21"
2024-10-08,SELL,845.81,173.12,,
2024-10-15,BUY,783.42,186.73,+0.44%,+650.24
2024-12-24,SELL,783.42,187.56,,
2025-02-11,BUY,779.51,198.09,-1.93%,"-2,981.62"
2025-05-20,SELL,779.51,194.26,,
2025-06-03,BUY,0.19,195.07,+2.11%,+0.80
2025-07-22,SELL,0.19,199.19,,
2025-07-29,BUY,0.00,206.06,-17.07%,-0.01
2025-08-05,SELL,0.00,170.88,,
2025-09-09,BUY,0.00,197.69,+2.43%,+0.00
2025-11-18,SELL,0.00,202.50,,
2026-06-30,BUY,573.43,327.35,+1.44%,"+2,700.87"
2026-07-14,SELL,573.43,332.06,,
2026-08-04,BUY,978.67,352.06,+6.14%,"+21,163.78"
2026-08-05,SELL,978.67,373.69,,
2026-08-11,BUY,778.84,384.20,,

"=== MU (P&L: $+22,495.30) ==="
date,side,qty,price,return%,pnl$
2023-08-01,BUY,101.74,70.16,-9.45%,-674.55
2023-08-22,SELL,101.74,63.53,,
2023-09-12,BUY,226.74,69.19,-3.50%,-548.72
2023-10-24,SELL,226.74,66.77,,
2023-11-07,BUY,186.46,71.70,+27.14%,"+3,628.48"
2024-02-27,SELL,186.46,91.16,,
2024-03-05,BUY,554.21,93.37,+38.82%,"+20,090.05"
2024-07-16,SELL,554.21,129.62,,
2025-06-10,BUY,0.00,111.46,+0.38%,+0.00
2025-07-29,SELL,0.00,111.88,,
2025-08-19,BUY,0.00,122.63,+161.32%,+0.04
2026-03-31,SELL,0.00,320.46,,
2026-04-21,BUY,0.00,452.31,+34.78%,+0.00
2026-05-05,SELL,0.00,609.64,,

"=== SYRE (P&L: $+16,156.97) ==="
date,side,qty,price,return%,pnl$
2026-07-28,BUY,1986.11,97.19,+8.37%,"+16,156.97"
2026-08-05,SELL,1986.11,105.33,,

"=== SNOW (P&L: $+12,389.97) ==="
date,side,qty,price,return%,pnl$
2026-08-04,BUY,1122.28,307.01,+3.60%,"+12,389.97"
2026-08-05,SELL,1122.28,318.05,,
2026-08-11,BUY,900.54,332.27,,

"=== ORKA (P&L: $+7,971.35) ==="
date,side,qty,price,return%,pnl$
2026-07-21,BUY,2034.80,92.90,-3.49%,"-6,592.75"
2026-07-28,SELL,2034.80,89.66,,
2026-08-04,BUY,3613.92,95.34,+4.23%,"+14,564.10"
2026-08-05,SELL,3613.92,99.37,,

"=== LITE (P&L: $+7,551.95) ==="
date,side,qty,price,return%,pnl$
2024-01-09,BUY,0.00,50.45,-1.75%,-0.00
2024-02-27,SELL,0.00,49.56,,
2024-06-25,BUY,0.00,47.77,-12.55%,-0.00
2024-08-06,SELL,0.00,41.77,,
2024-08-27,BUY,0.45,55.24,+54.03%,+13.29
2025-01-14,SELL,0.45,85.08,,
