year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,26.33,11.13,12.49,61.88
2022,-0.61,13.44,23.33,3.71,20.82,-7.18,13.68,26.88,0.33,29.36,13.54,1.14,247.72
2023,13.55,12.55,9.84,10.59,26.39,21.08,24.18,18.25,-0.52,-0.74,30.76,30.68,488.7
2024,10.63,32.87,26.34,9.73,20.7,8.37,21.63,17.8,8.63,107.87,60.65,-5.0,1216.22
2025,7.44,3.63,2.01,17.19,27.85,25.73,45.18,22.72,27.53,49.14,15.37,14.66,859.21
2026,19.82,29.84,12.65,69.14,44.44,28.32,-6.81,-0.74,-0.56,0.0,0.0,0.0,405.39
