kind,trade_id,symbol,exec_date,exec_price,shares,buy_date,buy_price,buy_fee,sell_fee,gross_pnl,net_pnl,net_return_pct,hold_days,exit_reason,sig_sig_date,sig_sig_w_close,sig_sig_w_ema,sig_sig_w_sma,sig_sig_d_close,sig_sig_d_ema,sig_sig_d_sma,sig_sig_h_close,sig_sig_h_atr,sig_gap_w,sig_atr_dist,sig_freshness_days,sig_emasma_score,sig_mtf_score,sig_early_score,sig_near_score
BUY,20,HRI,2021-11-23,172.71,0.54,,,0.05,,,,,,,2021-11-22,168.82,162.28,117.59,174.49,173.74,166.19,,,43.57,,999,5,,-0.2,
BUY,62,IDT,2021-11-23,61.19,5.33,,,0.16,,,,,,,2021-11-22,57.53,54.01,38.72,60.82,60.89,51.53,,,48.57,,999,5,,-0.4,
BUY,83,NRP,2021-11-23,24.73,239.16,,,2.96,,,,,,,2021-11-22,25.38,21.88,15.95,23.56,22.93,20.33,,,59.09,,999,5,,-1.0,
BUY,66,PDFS,2021-11-23,32.12,4.37,,,0.07,,,,,,,2021-11-22,30.25,27.1,20.72,31.88,31.28,25.56,,,45.99,,91,5,,0.2,
BUY,86,SIG,2021-11-23,101.01,58.55,,,2.96,,,,,,,2021-11-22,96.64,89.31,68.54,102.38,98.72,87.42,,,41.0,,999,5,,-0.1,
BUY,82,SITM,2021-11-23,277.26,21.33,,,2.96,,,,,,,2021-11-22,301.93,256.25,160.22,251.87,267.16,239.84,,,88.44,,161,5,,-1,
BUY,79,TFIN,2021-11-23,131.61,44.94,,,2.96,,,,,,,2021-11-22,127.81,115.95,90.25,131.08,129.27,115.84,,,41.61,,999,5,,-0.1,
BUY,85,TRNS,2021-11-23,93.38,63.34,,,2.96,,,,,,,2021-11-22,87.49,81.98,61.96,98.4,94.9,78.32,,,41.21,,999,5,,-0.1,
BUY,71,TSLA,2021-11-23,387.93,0.0,,,0.0,,,,,,,2021-11-22,361.04,330.94,247.94,385.24,366.89,322.66,,,45.61,,84,5,,0.3,
BUY,67,ZS,2021-11-23,337.15,0.48,,,0.08,,,,,,,2021-11-22,337.34,319.13,237.0,343.86,350.35,309.1,,,42.34,,999,5,,-0.1,
SELL,27,AEHR,2021-11-23,17.43,243.1,2021-09-28,15.26,1.85,2.12,529.08,526.96,14.21,40,ratchet-ATR exit,2021-11-22,17.11,18.72,7.94,18.02,21.64,20.32,,,115.53,,999,5,,-1,
SELL,43,AMBA,2021-11-23,178.78,31.53,2021-10-05,156.29,2.46,2.82,709.32,706.5,14.34,35,rotation (out of top-N),2021-11-22,172.4,171.87,122.69,181.35,189.33,175.77,,,40.51,,84,5,,0.6,
SELL,68,AMD,2021-11-23,150.5,1.24,2021-11-09,154.02,0.1,0.09,-4.38,-4.47,-2.33,10,equal-weight sizing trim,2021-11-22,155.0,132.23,98.52,152.48,148.82,124.21,,,57.34,,140,5,,-0.9,
SELL,77,ATLC,2021-11-23,66.91,79.83,2021-11-16,74.05,2.96,2.67,-570.01,-572.68,-9.69,5,rotation (out of top-N),2021-11-22,63.3,66.66,46.16,66.69,73.24,68.47,,,37.13,,999,5,,0.1,
SELL,70,BOOT,2021-11-23,128.79,2.55,2021-11-16,121.9,0.16,0.16,17.57,17.41,5.6,5,equal-weight sizing trim,2021-11-22,122.83,109.84,83.87,130.66,124.21,105.95,,,46.45,,999,5,,-0.3,
SELL,21,CAR,2021-11-23,286.69,2.82,2021-09-21,111.74,0.16,0.4,493.38,492.98,156.45,45,equal-weight sizing trim,2021-11-22,273.57,205.62,105.19,286.43,263.02,189.11,,,160.08,,999,5,,-1,
SELL,73,CCB,2021-11-23,47.2,133.75,2021-11-16,44.2,2.96,3.16,401.24,398.09,6.73,5,rotation (out of top-N),2021-11-22,44.56,39.22,31.55,48.65,44.64,36.94,,,41.25,,999,5,,-0.1,
SELL,72,COKE,2021-11-23,54.26,10.35,2021-11-16,49.51,0.26,0.28,49.15,48.87,9.54,5,equal-weight sizing trim,2021-11-22,57.12,45.17,36.29,54.53,49.04,40.34,,,57.41,,999,5,,-0.9,
