year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,39.24,12.5,10.91,79.52
2022,0.64,13.98,34.52,10.15,21.09,-9.25,17.07,29.92,-3.02,32.4,16.29,8.51,360.33
2023,16.7,17.74,16.42,17.39,43.37,24.66,34.71,36.59,-4.83,-3.08,52.95,32.93,1058.06
2024,1.42,45.94,36.04,16.18,19.83,15.78,29.96,17.41,16.78,277.53,76.63,-1.07,3715.08
2025,15.55,7.9,1.26,28.47,35.63,27.54,77.03,41.87,17.37,74.96,22.51,13.55,1912.84
2026,23.11,45.1,22.94,90.19,61.83,25.19,-2.25,-2.58,-1.16,0.0,0.0,0.0,696.51
