symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
AAMI,1,0.0,-141938.31,-141938.31,-4.93,-4.93,-4.93,14.0
AAOI,10,50.0,29255929.06,2925592.91,61.13,252.23,-26.21,29.5
AAON,1,100.0,707.85,707.85,3.57,3.57,3.57,5.0
AAP,1,100.0,355126.55,355126.55,15.14,15.14,15.14,5.0
ABVX,2,100.0,22463554.18,11231777.09,364.37,679.19,49.54,58.0
ACIW,1,100.0,15842.24,15842.24,5.12,5.12,5.12,5.0
ACLS,7,71.4,20591.69,2941.67,13.24,35.6,-11.3,20.3
ACMR,10,100.0,13805715.15,1380571.52,15.5,30.72,3.08,10.1
ACU,2,0.0,-5980.07,-2990.03,-3.56,-2.3,-4.82,5.0
AEHR,15,73.3,32082102.48,2138806.83,24.16,141.11,-16.7,21.7
AEIS,1,100.0,2634110.18,2634110.18,14.87,14.87,14.87,5.0
AEM,1,100.0,168326.96,168326.96,13.29,13.29,13.29,14.0
AFRM,5,100.0,461546.95,92309.39,34.91,138.05,0.66,25.6
AGL,5,60.0,68822204.21,13764440.84,48.33,245.1,-9.49,18.0
AGX,7,85.7,7643431.07,1091918.72,17.11,54.2,-7.61,17.0
AGYS,3,100.0,7496.22,2498.74,15.1,31.73,4.61,14.0
ALAB,3,66.7,4463130.63,1487710.21,12.5,44.16,-17.2,22.3
ALB,3,33.3,575725.07,191908.36,1.68,15.99,-8.67,4.7
ALGT,1,0.0,-13735.35,-13735.35,-1.19,-1.19,-1.19,18.0
ALNT,4,50.0,-2238313.15,-559578.29,1.08,5.39,-4.98,4.8
ALNY,6,66.7,253293.74,42215.62,13.73,62.23,-2.79,11.5
AMAT,1,0.0,-9611409.88,-9611409.88,-21.97,-21.97,-21.97,4.0
AMBA,3,100.0,2013.26,671.09,14.4,21.11,3.66,21.3
AMD,7,57.1,540943.75,77277.68,2.27,9.78,-8.44,10.3
AMKR,3,66.7,1656022.97,552007.66,2.97,5.83,-1.39,8.0
AMR,9,77.8,62644.34,6960.48,29.48,162.45,-20.14,34.8
ANAB,7,85.7,11770135.18,1681447.88,9.37,31.01,-0.14,11.1
ANDE,3,100.0,1121.9,373.97,4.86,8.95,2.28,8.0
ANET,2,100.0,804.38,402.19,7.89,8.21,7.57,9.5
ANF,6,50.0,-1199519.69,-199919.95,33.62,183.76,-4.69,35.2
ANIP,2,100.0,1811.96,905.98,4.91,7.01,2.81,4.5
APA,3,66.7,3968859.36,1322953.12,20.69,37.15,-0.28,44.7
APGE,1,100.0,41008.72,41008.72,0.1,0.1,0.1,15.0
APP,13,76.9,920031.69,70771.67,31.94,267.92,-7.6,23.7
ARCB,3,66.7,-107.67,-35.89,-0.18,7.19,-8.1,9.7
ARGX,1,0.0,-274.66,-274.66,-2.83,-2.83,-2.83,9.0
ARM,2,100.0,23622171.17,11811085.59,37.41,72.94,1.88,11.5
ARWR,1,100.0,7626419.33,7626419.33,96.14,96.14,96.14,96.0
ASTS,8,62.5,5190274.48,648784.31,39.88,217.57,-10.42,26.6
ATEX,4,75.0,24431827.57,6107956.89,20.33,70.64,-7.29,18.8
ATI,3,66.7,12748.83,4249.61,2.4,8.36,-1.8,9.7
ATLC,3,33.3,-1532.83,-510.94,11.56,42.55,-7.61,16.3
ATRO,6,100.0,804272.32,134045.39,9.71,40.25,0.56,12.2
AU,6,66.7,114676.51,19112.75,8.23,23.97,-3.89,16.0
AVAV,4,75.0,2020009.06,505002.27,17.33,35.14,-0.42,6.2
AXON,5,60.0,203525.39,40705.08,14.81,40.03,-0.72,11.8
AXSM,5,60.0,4448.91,889.78,6.03,27.42,-15.44,15.4
BABA,2,50.0,-251671.77,-125835.89,-9.19,0.04,-18.42,15.0
BAND,4,50.0,19002997.59,4750749.4,25.26,116.32,-20.78,18.0
BANF,2,100.0,2643.16,1321.58,13.54,23.78,3.3,21.5
BBIO,10,60.0,11624.33,1162.43,0.5,17.96,-13.98,12.4
BCC,1,100.0,699.14,699.14,11.91,11.91,11.91,19.0
BE,10,90.0,20735142.42,2073514.24,41.93,186.64,-0.49,23.6
BELFA,3,33.3,8274.99,2758.33,6.85,26.4,-4.27,17.3
BELFB,6,66.7,51956.1,8659.35,12.76,42.58,-6.14,22.8
BFH,2,50.0,-282.05,-141.03,0.58,6.95,-5.8,7.0
BIIB,2,100.0,5673.55,2836.78,21.56,34.68,8.44,5.0
BJ,1,100.0,1509.45,1509.45,0.12,0.12,0.12,14.0
BKR,1,100.0,194.63,194.63,2.73,2.73,2.73,15.0
BLBD,5,80.0,107522.41,21504.48,20.18,45.69,-1.64,21.0
BLDR,5,80.0,14908.37,2981.67,6.87,34.73,-14.25,16.2
BLTE,4,100.0,2298916.41,574729.1,17.81,31.89,2.71,30.8
BMA,8,87.5,321406.04,40175.76,11.96,22.8,-4.16,14.9
BNTX,2,0.0,-987.29,-493.64,-10.96,-6.88,-15.04,7.0
BOOT,4,50.0,25798.39,6449.6,-1.7,7.28,-8.77,8.5
BROS,3,66.7,-3193.36,-1064.45,-0.41,5.18,-7.95,14.7
BX,1,100.0,488.52,488.52,11.23,11.23,11.23,10.0
BXC,5,80.0,3729.7,745.94,9.89,27.28,-13.98,12.4
CAKE,2,50.0,-187660.94,-93830.47,-0.03,2.16,-2.23,9.0
CALM,4,100.0,2544.1,636.02,6.9,15.45,0.43,5.0
CAMT,5,100.0,70175.33,14035.07,12.4,23.02,0.81,26.2
CAR,7,71.4,33466582.37,4780940.34,52.5,186.23,-17.46,22.7
CAVA,1,100.0,218890.85,218890.85,70.7,70.7,70.7,59.0
CBRL,2,50.0,-2279155.63,-1139577.81,-2.35,1.98,-6.68,5.5
CBT,1,100.0,260.18,260.18,4.04,4.04,4.04,9.0
CCB,6,100.0,134797.64,22466.27,7.2,18.44,1.01,10.5
CCJ,1,100.0,9399.99,9399.99,15.0,15.0,15.0,19.0
CCL,2,100.0,12531.64,6265.82,15.13,28.34,1.93,14.0
CECO,5,100.0,568155.02,113631.0,24.87,51.9,3.97,33.8
CEG,4,50.0,30754.51,7688.63,1.53,7.68,-4.53,7.2
CELC,6,66.7,8418912.3,1403152.05,29.42,124.77,-17.2,27.0
CF,4,100.0,2856.15,714.04,8.98,17.75,1.04,17.2
CHRD,2,100.0,447.16,223.58,3.85,7.31,0.39,12.0
CIB,2,50.0,54668.69,27334.35,2.13,6.84,-2.58,9.5
CIEN,2,100.0,18758909.2,9379454.6,97.91,145.84,49.97,74.5
CLS,14,78.6,2380952.83,170068.06,16.12,49.31,-6.91,21.3
CMPR,5,80.0,14136.65,2827.33,6.62,15.28,-2.01,16.8
CNR,12,75.0,15788.33,1315.69,11.21,35.69,-9.84,19.5
COCO,2,100.0,13925.75,6962.88,24.42,34.4,14.45,33.5
COHR,8,75.0,4286573.63,535821.7,5.02,20.63,-2.79,7.9
COHU,1,100.0,7911.87,7911.87,0.02,0.02,0.02,4.0
COIN,5,100.0,503671.24,100734.25,33.79,68.06,3.4,23.0
COKE,4,50.0,40748.82,10187.2,5.11,12.05,-1.03,13.0
COOK,3,66.7,12466.72,4155.57,9.02,27.57,-1.38,8.0
COP,1,100.0,1339.04,1339.04,23.99,23.99,23.99,38.0
CORT,12,50.0,-1279993.82,-106666.15,0.14,17.79,-32.61,9.6
CRDO,7,57.1,1973257.72,281893.96,12.94,85.57,-21.94,24.3
CROX,6,66.7,8841.95,1473.66,8.38,27.34,-1.0,11.8
CRS,3,100.0,134163.47,44721.16,16.64,20.95,12.96,23.0
CRUS,2,100.0,28181.89,14090.94,4.62,4.74,4.51,7.5
CRVL,1,100.0,403.54,403.54,10.09,10.09,10.09,10.0
CRWD,3,100.0,42602.02,14200.67,16.16,24.65,1.66,17.7
CTRN,1,100.0,131136.06,131136.06,7.68,7.68,7.68,5.0
CUBI,4,75.0,36908.63,9227.16,20.74,57.35,-0.83,25.0
CVLT,1,100.0,24785.63,24785.63,7.4,7.4,7.4,29.0
CVNA,8,87.5,903713.47,112964.18,45.05,165.84,-18.64,39.8
CVSA,3,100.0,274381.71,91460.57,9.02,17.89,3.23,10.0
CVX,2,100.0,1315.98,657.99,8.88,10.05,7.7,7.5
CYTK,7,57.1,-23486.8,-3355.26,2.34,27.64,-21.37,10.9
DAC,2,50.0,1255.53,627.76,9.84,31.86,-12.19,10.0
DAR,1,100.0,711591.78,711591.78,4.55,4.55,4.55,4.0
DAVE,11,81.8,6480682.68,589152.97,50.99,312.56,-9.8,27.9
DBD,4,75.0,65208.74,16302.19,22.02,91.34,-8.49,39.8
DD,4,50.0,-674905.75,-168726.44,-0.19,4.97,-4.02,10.5
DDOG,4,50.0,2864950.68,716237.67,3.77,16.58,-5.25,10.0
DDS,3,33.3,1189.17,396.39,11.45,43.45,-7.8,19.7
DELL,9,77.8,5153280.11,572586.68,6.66,25.97,-12.95,16.1
DGII,3,100.0,5236.23,1745.41,14.56,23.08,6.62,29.3
DINO,5,60.0,1628764.42,325752.88,5.3,19.97,-6.82,14.6
DK,7,85.7,4263025.25,609003.61,5.41,27.15,-19.54,11.4
DKL,1,0.0,-401.27,-401.27,-2.99,-2.99,-2.99,9.0
DKS,2,50.0,5465.77,2732.89,0.72,3.6,-2.17,7.0
DNTH,6,83.3,9660361.85,1610060.31,29.41,84.96,-1.68,18.7
DOCN,2,100.0,16755062.21,8377531.1,40.12,61.44,18.8,26.0
DRUG,7,57.1,7677563.01,1096794.72,188.65,1306.76,-18.27,21.0
DUOL,5,80.0,531435.09,106287.02,18.06,38.54,-2.72,19.2
DVN,5,80.0,5380.37,1076.07,16.48,27.57,-2.55,31.0
DXPE,1,100.0,93898.05,93898.05,8.14,8.14,8.14,32.0
EA,1,0.0,-619710.24,-619710.24,-0.05,-0.05,-0.05,4.0
EAT,10,70.0,-4205398.5,-420539.85,2.53,26.14,-16.05,13.1
ECHO,5,80.0,5821464.46,1164292.89,23.57,63.56,-5.34,23.2
ECPG,1,0.0,-419.76,-419.76,-6.52,-6.52,-6.52,9.0
ELF,9,100.0,44857.19,4984.13,17.37,49.68,3.58,24.1
