year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,24.83,11.87,10.25,57.62
2022,-3.41,13.44,24.42,5.17,19.5,-8.33,12.73,25.77,-0.34,28.68,12.92,1.7,227.94
2023,12.46,11.15,10.09,9.96,26.19,20.81,24.36,18.65,-2.44,-1.37,29.46,29.36,448.51
2024,8.51,33.35,25.14,8.62,19.13,6.82,21.42,17.55,9.78,94.93,38.42,-5.25,902.47
2025,14.2,3.41,1.64,18.08,28.57,26.08,41.32,22.45,24.45,45.94,12.46,15.38,836.89
2026,16.08,27.99,10.05,72.23,38.34,24.15,-8.54,-1.02,-1.04,0.0,0.0,0.0,333.26
