year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,37.15,12.54,11.15,77.23
2022,-3.2,14.46,33.45,11.83,17.16,-8.85,16.09,28.18,-2.96,33.03,14.75,9.12,324.71
2023,16.2,15.98,15.59,17.87,39.52,23.2,31.4,36.16,-4.6,-2.11,51.62,32.3,958.03
2024,1.28,43.86,34.63,15.76,17.7,13.26,30.26,19.41,16.97,232.23,36.87,-5.92,2256.55
2025,16.25,4.03,0.97,24.71,44.23,30.04,58.87,31.0,18.41,71.18,15.7,15.6,1511.58
2026,22.95,41.6,18.15,96.24,55.63,19.0,-6.85,-2.9,-1.3,0.0,0.0,0.0,567.39
