symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
WDC,21,95.2,55192580.87,2628218.14,38.58,102.12,-9.87,34.4
WF,1,100.0,200170.98,200170.98,5.17,5.17,5.17,5.0
WFRD,11,100.0,14688.05,1335.28,20.77,59.39,2.05,23.8
WGS,32,87.5,1553512.78,48547.27,63.48,221.81,-7.19,50.2
WHD,2,100.0,382.04,191.02,3.16,5.74,0.57,5.0
WING,5,100.0,29546.67,5909.33,8.63,25.79,0.07,6.0
WLDN,11,90.9,2940138.5,267285.32,32.19,79.1,-1.66,20.2
WLFC,14,78.6,-78707.05,-5621.93,12.24,49.95,-15.36,13.6
WOR,1,100.0,279944.57,279944.57,11.67,11.67,11.67,5.0
WPM,2,100.0,325769.92,162884.96,15.36,17.04,13.67,7.0
WRLD,2,100.0,2338.19,1169.1,6.79,10.78,2.8,5.0
WSM,5,80.0,60833.06,12166.61,16.17,30.32,-1.06,9.4
WYNN,3,100.0,2316.64,772.21,6.61,11.2,4.02,19.0
XENE,4,75.0,117.01,29.25,1.06,2.65,-1.37,18.2
XMTR,13,69.2,-112059.28,-8619.94,14.88,37.87,-18.73,12.7
XOM,3,66.7,-614.98,-204.99,0.91,7.54,-6.4,8.0
XPO,7,100.0,51414.8,7344.97,12.94,25.49,3.19,39.1
YOU,5,100.0,141528.08,28305.62,8.32,13.8,3.0,12.6
YPF,19,94.7,155288.53,8173.08,14.81,55.93,-3.86,21.2
ZS,3,100.0,242653.16,80884.39,3.36,7.48,0.83,12.7
