metric,value
window_start,2021-09-20
window_end,2026-09-10
trading_days,1249
calendar_days,1816
top_n,10
score,emasma
exit,rebalance
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,16789861.64
total_return_pct,16689.86
cagr_pct,180.04
annualized_vol_pct,30.74
sharpe_ratio,3.53
sortino_ratio,3.53
max_drawdown_pct,-28.56
calmar_ratio,6.3
closed_trades,730
open_at_sample_end,1
total_trades,731
total_cost_usd,280151.71
win_rate_pct,77.26
profit_factor,3.79
avg_win_usd,40179.78
avg_loss_usd,-35980.6
expectancy_usd_per_trade,22861.12
best_trade_usd,1388044.49
worst_trade_usd,-1194654.5
best_trade_pct,345.85
worst_trade_pct,-72.73
avg_hold_trading_days,16.98
max_losing_streak,8
days_invested_pct,100.0
avg_positions,9.93
cost_per_side_bps,5.0
ledger_sum_usd,16789861.69
ledger_delta_usd,-0.05
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,86.46
benchmark_spy_cagr_pct,13.34
benchmark_vti_return_pct,78.05
benchmark_vti_cagr_pct,12.29
benchmark_eqw_universe_return_pct,137.12
benchmark_eqw_universe_cagr_pct,18.95
