symbol,trades,win_rate_pct,net_pnl_usd,avg_net_pnl_usd,avg_return_pct,best_trade_pct,worst_trade_pct,avg_hold_days
VLO,5,100.0,1247.49,249.5,21.79,33.9,10.86,24.2
VPG,5,80.0,13019365.53,2603873.11,33.37,68.07,-7.35,20.8
VRSN,4,75.0,262549.66,65637.42,6.49,15.83,-6.97,6.2
VRT,16,93.8,-339464.71,-21216.54,58.19,121.8,-2.12,83.8
VRTX,3,100.0,1909.44,636.48,17.45,18.55,16.68,16.7
VSAT,12,91.7,4558035.01,379836.25,42.19,98.12,-1.4,18.8
VST,15,93.3,-9910.43,-660.7,17.83,45.1,-15.3,21.2
VSXY,8,75.0,-6935171.45,-866896.43,14.83,42.3,-14.83,14.2
VXZ,2,100.0,360179.68,180089.84,15.53,18.01,13.05,9.5
W,10,90.0,2980602.17,298060.22,10.24,25.76,-2.38,12.9
WAL,1,100.0,14995.04,14995.04,13.81,13.81,13.81,5.0
WBD,8,75.0,6072871.4,759108.93,21.04,52.5,-1.05,11.5
WDC,21,95.2,53026437.9,2525068.47,38.53,102.11,-9.91,34.4
WF,1,100.0,191935.37,191935.37,5.12,5.12,5.12,5.0
WFRD,11,100.0,14387.72,1307.97,20.72,59.33,2.0,23.8
WGS,32,87.5,1510841.25,47213.79,63.43,221.9,-7.23,50.2
WHD,2,100.0,374.3,187.15,3.11,5.69,0.52,5.0
WING,5,100.0,28787.85,5757.57,8.58,25.73,0.02,6.0
WLDN,11,90.9,2840206.07,258200.55,32.13,79.03,-1.71,20.2
WLFC,14,78.6,-79464.38,-5676.03,12.18,49.88,-15.4,13.6
WOR,1,100.0,270252.34,270252.34,11.62,11.62,11.62,5.0
WPM,2,100.0,315187.35,157593.67,15.29,16.98,13.61,7.0
WRLD,2,100.0,2277.01,1138.5,6.74,10.73,2.75,5.0
WSM,5,80.0,59383.67,11876.73,16.11,30.26,-1.11,9.4
WYNN,3,100.0,2264.6,754.87,6.55,11.14,3.96,19.0
XENE,4,75.0,107.14,26.79,1.01,2.59,-1.41,18.2
XMTR,13,69.2,-110796.21,-8522.79,14.82,37.8,-18.77,12.7
XOM,3,66.7,-619.35,-206.45,0.86,7.48,-6.45,8.0
XPO,7,100.0,50329.34,7189.91,12.89,25.43,3.15,39.1
YOU,5,100.0,137105.46,27421.09,8.27,13.75,2.95,12.6
YPF,19,94.7,149813.39,7884.92,14.76,55.9,-3.9,21.2
ZS,3,100.0,233566.84,77855.61,3.31,7.42,0.78,12.7
