date,equity,positions
2021-09-21,99229.93,10
2021-09-22,103445.73,10
2021-09-23,106732.1,10
2021-09-24,105969.24,10
2021-09-27,105383.04,10
2021-09-28,102523.78,10
2021-09-29,101429.67,10
2021-09-30,102535.04,10
2021-10-01,107243.87,10
2021-10-04,110402.03,10
2021-10-05,112889.8,10
2021-10-06,113526.0,10
2021-10-07,118007.58,10
2021-10-08,122728.72,10
2021-10-11,123547.67,10
2021-10-12,126996.21,10
2021-10-13,129630.15,10
2021-10-14,130151.88,10
2021-10-15,132204.96,10
2021-10-18,135552.5,10
2021-10-19,131305.39,10
2021-10-20,134097.16,10
2021-10-21,136396.42,10
2021-10-22,135300.93,10
2021-10-25,136987.0,10
2021-10-26,137849.56,10
2021-10-27,134723.62,10
2021-10-28,139699.29,10
2021-10-29,142766.78,10
2021-11-01,146288.14,10
2021-11-02,164302.73,10
2021-11-03,165429.78,10
2021-11-04,163988.12,10
2021-11-05,166671.25,10
2021-11-08,166832.82,10
2021-11-09,163812.96,10
2021-11-10,158165.84,10
2021-11-11,169256.06,10
2021-11-12,172203.86,10
2021-11-15,169091.43,10
2021-11-16,171774.44,10
2021-11-17,168089.96,10
2021-11-18,169280.09,10
2021-11-19,169065.05,10
2021-11-22,162982.96,10
2021-11-23,166941.02,10
2021-11-24,168748.16,10
2021-11-26,164616.07,10
2021-11-29,167324.25,10
2021-11-30,160611.51,10
2021-12-01,159419.33,10
2021-12-02,161040.01,10
2021-12-03,156581.27,10
2021-12-06,157284.92,10
2021-12-07,164318.5,10
2021-12-08,166486.52,10
2021-12-09,162942.36,10
2021-12-10,162519.22,10
2021-12-13,155954.8,10
2021-12-14,153802.77,10
2021-12-15,158984.18,10
2021-12-16,151273.58,10
2021-12-17,156573.23,10
2021-12-20,154831.51,10
2021-12-21,165061.54,10
2021-12-22,167480.07,10
2021-12-23,170451.45,10
2021-12-27,176260.82,10
2021-12-28,171789.55,10
2021-12-29,175185.45,10
2021-12-30,175346.69,10
2021-12-31,178137.09,10
2022-01-03,177995.77,10
2022-01-04,182182.01,10
2022-01-05,179529.13,10
2022-01-06,183812.06,10
2022-01-07,181904.07,10
2022-01-10,179754.89,10
2022-01-11,185439.36,10
2022-01-12,186810.07,10
2022-01-13,186130.8,10
2022-01-14,189247.58,10
2022-01-18,184629.46,10
2022-01-19,178573.18,10
2022-01-20,174160.23,10
2022-01-21,167079.58,10
2022-01-24,164602.56,10
2022-01-25,173740.55,10
2022-01-26,174399.64,10
2022-01-27,175854.56,10
2022-01-28,179604.44,10
2022-01-31,179272.43,10
2022-02-01,187997.6,10
2022-02-02,187205.95,10
2022-02-03,188701.38,10
2022-02-04,190381.48,10
2022-02-07,191515.78,10
2022-02-08,190058.3,10
2022-02-09,193491.07,10
2022-02-10,192544.69,10
2022-02-11,197555.16,10
2022-02-14,194186.13,10
2022-02-15,195816.04,10
2022-02-16,197258.69,10
2022-02-17,195686.93,10
2022-02-18,194075.68,10
2022-02-22,190677.73,10
2022-02-23,188040.57,10
2022-02-24,192985.01,10
2022-02-25,198543.35,10
2022-02-28,204327.35,10
2022-03-01,209487.99,10
2022-03-02,218913.39,10
2022-03-03,221794.01,10
2022-03-04,230149.93,10
2022-03-07,229413.74,10
2022-03-08,230503.87,10
2022-03-09,237462.21,10
2022-03-10,251499.74,10
2022-03-11,252049.61,10
2022-03-14,235591.83,10
2022-03-15,236250.96,10
2022-03-16,243195.6,10
2022-03-17,255826.72,10
2022-03-18,256987.48,10
2022-03-21,263199.99,10
2022-03-22,262454.65,10
2022-03-23,270851.87,10
2022-03-24,269329.03,10
2022-03-25,272470.04,10
2022-03-28,267242.94,10
2022-03-29,270437.84,10
2022-03-30,272686.46,10
2022-03-31,274867.06,10
2022-04-01,281071.01,10
2022-04-04,279184.82,10
2022-04-05,277935.34,10
2022-04-06,279763.8,10
2022-04-07,283013.34,10
2022-04-08,290525.22,10
2022-04-11,283405.46,10
2022-04-12,292901.5,10
2022-04-13,307641.19,10
2022-04-14,314655.2,10
2022-04-18,323872.24,10
2022-04-19,319553.79,10
2022-04-20,324621.51,10
2022-04-21,303245.55,10
2022-04-22,291242.79,10
2022-04-25,285005.49,10
2022-04-26,287572.55,10
2022-04-27,294990.05,10
2022-04-28,304984.33,10
2022-04-29,302772.23,10
2022-05-02,306750.58,10
2022-05-03,319217.62,10
2022-05-04,328829.04,10
2022-05-05,329307.69,10
2022-05-06,333913.15,10
2022-05-09,298515.94,10
2022-05-10,304767.03,10
2022-05-11,310534.8,10
2022-05-12,307161.18,10
2022-05-13,321780.53,10
2022-05-16,333516.18,10
2022-05-17,342227.84,10
2022-05-18,333854.69,10
2022-05-19,339332.85,10
2022-05-20,337215.33,10
2022-05-23,353703.0,10
2022-05-24,352875.2,10
2022-05-25,360211.54,10
2022-05-26,369867.58,10
2022-05-27,381331.56,10
2022-05-31,366630.94,10
2022-06-01,377523.09,10
2022-06-02,383394.42,10
2022-06-03,385932.93,10
2022-06-06,388487.0,10
2022-06-07,402199.71,10
2022-06-08,396333.25,10
2022-06-09,387281.67,10
2022-06-10,381083.25,10
2022-06-13,354367.82,10
2022-06-14,357567.75,10
2022-06-15,355914.1,10
2022-06-16,343495.14,10
2022-06-17,332157.36,10
2022-06-21,343698.1,10
2022-06-22,331615.91,10
2022-06-23,317572.36,10
2022-06-24,322746.08,10
2022-06-27,337683.5,10
2022-06-28,339486.9,10
2022-06-29,330764.23,10
2022-06-30,332734.88,10
2022-07-01,333845.98,10
