metric,value
window_start,2021-09-20
window_end,2026-09-11
trading_days,1250
calendar_days,1817
top_n,25
score,emasma
exit,ratchet-atr
universe_is_etf,False
tickers,
initial_capital_usd,100000.0
final_equity_usd,2026766616.05
total_return_pct,2026666.62
cagr_pct,633.08
annualized_vol_pct,48.01
sharpe_ratio,4.4
sortino_ratio,5.81
max_drawdown_pct,-20.32
calmar_ratio,31.15
closed_trades,3857
open_at_sample_end,1
total_trades,3858
total_cost_usd,22233480.64
win_rate_pct,85.97
profit_factor,5.03
avg_win_usd,762602.73
avg_loss_usd,-928417.74
expectancy_usd_per_trade,525412.67
best_trade_usd,58157387.21
worst_trade_usd,-20375759.23
best_trade_pct,1738.26
worst_trade_pct,-32.61
avg_hold_trading_days,17.57
max_losing_streak,11
days_invested_pct,100.0
avg_positions,24.79
cost_per_side_bps,5.0
ledger_sum_usd,2026766616.1
ledger_delta_usd,-0.05
ledger_reconciliation,PASS
note_open_marks,end-of-sample positions valued at last close; no exit cost applied (engine MTMs at close)
note_hourly_fields,"hourly-derived snapshot fields (atr_dist, mtf/near score) blank before 2023-06-30 -- hourly data starts then"
benchmark_spy_return_pct,88.16
benchmark_spy_cagr_pct,13.54
benchmark_vti_return_pct,79.74
benchmark_vti_cagr_pct,12.5
benchmark_eqw_universe_return_pct,138.93
benchmark_eqw_universe_cagr_pct,19.12
