year,01,02,03,04,05,06,07,08,09,10,11,12,annual_%
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,26.26,11.05,12.41,61.51
2022,-0.68,13.39,23.24,3.64,20.74,-7.25,13.61,26.79,0.27,29.28,13.49,1.09,245.05
2023,13.5,12.49,9.76,10.52,26.29,21.02,24.11,18.17,-0.58,-0.83,30.69,30.64,484.39
2024,10.57,32.81,26.27,9.61,20.64,8.27,21.51,17.7,8.55,107.67,60.56,-5.07,1204.58
2025,7.36,3.57,1.92,17.05,27.76,25.65,45.05,22.64,27.44,49.07,15.31,14.59,850.96
2026,19.74,29.77,12.53,69.03,44.35,28.22,-6.89,-0.9,-0.63,0.0,0.0,0.0,401.55
